names,scores,logfoldchanges,pvals,pvals_adj,pct_agg,pct_ctrl,cell_type
MEIS2,10.376338,2.0193117,3.18E-25,2.84E-24,0.17674509,0.166089965,Monocytes
SSPN,10.37188,1.6097677,3.33E-25,2.97E-24,0.717868948,0.485005767,Monocytes
STK4,10.3335495,0.25896317,4.97E-25,4.41E-24,0.620649426,0.39100346,Monocytes
SGF29,10.2641535,3.0119972,1.02E-24,9.05E-24,0.283006028,0.170703576,Monocytes
BCL11B,10.224817,4.976436,1.54E-24,1.35E-23,0.16264826,0.16378316,Monocytes
ADRB2,10.1633625,3.6374543,2.89E-24,2.54E-23,0.612385767,0.416955017,Monocytes
BCL6,10.127782,1.2695558,4.16E-24,3.64E-23,0.264728758,0.159746251,Monocytes
KDSR,10.123039,0.9501465,4.37E-24,3.82E-23,0.11987167,0.0455594,Monocytes
HEXIM1,10.108379,1.4616534,5.07E-24,4.43E-23,0.100330546,0.066897347,Monocytes
EFNA1,10.0568905,0.69131213,8.57E-24,7.44E-23,0.644759868,0.333910035,Monocytes
PRSS8,9.994837,0.8599008,1.61E-23,1.39E-22,0.226327046,0.015570934,Monocytes
EPC2,9.924562,1.926843,3.26E-23,2.80E-22,0.137468404,0.091695502,Monocytes
RBM38,9.906637,1.2717285,3.90E-23,3.35E-22,0.326268715,0.217416378,Monocytes
TNRC6A,9.903683,1.0650204,4.01E-23,3.45E-22,0.253840171,0.15916955,Monocytes
MYDGF,9.89331,0.5509151,4.45E-23,3.82E-22,0.430488042,0,Monocytes
NEDD4,9.889375,2.9472067,4.63E-23,3.97E-22,0.272992417,0.197231834,Monocytes
SLC7A5,9.886386,0.80920607,4.77E-23,4.08E-22,0.478708925,0.28200692,Monocytes
PPP1R12C,9.87259,1.8303249,5.47E-23,4.68E-22,0.24188217,0.081314879,Monocytes
MBNL1,9.838285,0.9146356,7.70E-23,6.55E-22,0.774742368,0.569204152,Monocytes
SETD2,9.767128,1.0685263,1.56E-22,1.32E-21,0.354851254,0.166089965,Monocytes
RECQL,9.755404,1.047218,1.75E-22,1.48E-21,0.505249854,0.227797001,Monocytes
MBP,9.737562,0.9885157,2.08E-22,1.76E-21,0.267159246,0.061130334,Monocytes
MIA3,9.638365,0.93944365,5.51E-22,4.61E-21,0.263367684,0.174163783,Monocytes
HAGHL,9.633461,0.78300273,5.78E-22,4.83E-21,0.123857671,0.136101499,Monocytes
USP3,9.548616,1.0360885,1.31E-21,1.09E-20,0.332976862,0.121107266,Monocytes
VAMP5,9.53806,1.8598896,1.46E-21,1.21E-20,0.156037332,0.219723183,Monocytes
RASSF1,9.533351,1.6760211,1.52E-21,1.26E-20,0.81917169,0.52710496,Monocytes
CSNK1G2,9.518845,0.91300267,1.75E-21,1.45E-20,0.37186467,0.136678201,Monocytes
CLK4,9.432893,1.2973007,3.99E-21,3.28E-20,0.271923002,0.14071511,Monocytes
RNF145,9.419206,0.65215266,4.55E-21,3.73E-20,0.475306241,0.278546713,Monocytes
PHC2,9.323701,0.81765753,1.12E-20,9.10E-20,0.297102858,0.187427912,Monocytes
OSBPL8,9.23369,0.5154852,2.61E-20,2.10E-19,0.38216994,0.143021915,Monocytes
NAV2,9.121109,1.3238117,7.44E-20,5.93E-19,0.238771145,0.106689735,Monocytes
TSPAN15,9.083026,1.6769187,1.06E-19,8.39E-19,0.139510014,0.087081892,Monocytes
BCL10,9.075735,0.8479849,1.13E-19,8.96E-19,0.619191134,0.151672434,Monocytes
GBP3,9.044729,1.156353,1.50E-19,1.19E-18,0.309449738,0.114186851,Monocytes
PCCA,9.022226,1.9804877,1.84E-19,1.45E-18,0.129301964,0.042099193,Monocytes
ITGAV,8.998907,0.760762,2.28E-19,1.79E-18,0.44516819,0.215686275,Monocytes
ZNF704,8.968559,1.1744753,3.00E-19,2.34E-18,0.279214466,0.057670127,Monocytes
TRIO,8.9442005,0.95644295,3.75E-19,2.92E-18,0.471028583,0.201845444,Monocytes
EXT1,8.94306,1.3267673,3.79E-19,2.95E-18,0.655940113,0.273356401,Monocytes
KPNA5,8.9411745,1.8616811,3.85E-19,2.99E-18,0.367587011,0.323529412,Monocytes
CEP350,8.923825,0.64459956,4.50E-19,3.50E-18,0.160314991,0.080161476,Monocytes
HSPA2,8.921618,1.5996311,4.60E-19,3.56E-18,0.127454793,0.061707036,Monocytes
ANO1,8.895277,2.0094593,5.83E-19,4.51E-18,0.260937196,0.152249135,Monocytes
PHF21A,8.764188,1.3554653,1.88E-18,1.44E-17,0.050068054,0.128604383,Monocytes
MAFB,8.757888,0.54886717,1.99E-18,1.52E-17,0.16673148,0.491926182,Monocytes
PLSCR1,8.686769,0.5338668,3.73E-18,2.83E-17,0.466459265,0.222029988,Monocytes
ZNF431,8.673983,1.6075125,4.17E-18,3.17E-17,0.015263465,0.107843137,Monocytes
GNG11,8.648034,2.8025646,5.24E-18,3.96E-17,0.031304686,0.11822376,Monocytes
CSPP1,8.603061,1.2753848,7.76E-18,5.84E-17,0.320241104,0.081314879,Monocytes
ANKRD13A,8.591027,1.4111221,8.62E-18,6.48E-17,0.458973362,0.156862745,Monocytes
MEX3C,8.581384,1.4407296,9.37E-18,7.03E-17,0.395100136,0.113033449,Monocytes
ZNRF2,8.567233,0.8683206,1.06E-17,7.94E-17,0.720688314,0.398500577,Monocytes
COBLL1,8.554927,1.2594221,1.18E-17,8.82E-17,0.385669843,0.151095732,Monocytes
EDN2,8.533867,2.5677135,1.42E-17,1.06E-16,0.350962473,0.235294118,Monocytes
FOLR1,8.525099,1.8742429,1.53E-17,1.14E-16,0.382364379,0.266435986,Monocytes
TNKS2,8.512003,0.9411305,1.71E-17,1.27E-16,0.201730507,0.179354095,Monocytes
CLDN1,8.5107765,1.1189349,1.73E-17,1.29E-16,0.332393545,0.185121107,Monocytes
ZC3H6,8.483567,1.3579628,2.18E-17,1.62E-16,0.640676648,0.508650519,Monocytes
PDGFC,8.480256,2.1297464,2.25E-17,1.67E-16,0.390530819,0.306228374,Monocytes
BMP1,8.470804,1.8173877,2.44E-17,1.81E-16,0.245090414,0.158592849,Monocytes
KAZN,8.4529085,0.961761,2.84E-17,2.10E-16,0.436710091,0.329296424,Monocytes
BICDL1,8.344094,4.4033656,7.18E-17,5.26E-16,0.00806922,0.172433679,Monocytes
PTAR1,8.292074,1.090579,1.11E-16,8.14E-16,0.549290297,0.297577855,Monocytes
TMEM243,8.289306,1.1153399,1.14E-16,8.32E-16,0.854365157,0.547289504,Monocytes
ZFP14,8.256867,1.7846541,1.50E-16,1.09E-15,0.834629594,0.56343714,Monocytes
TCIRG1,8.212107,0.71369976,2.17E-16,1.58E-15,0.271923002,0.264705882,Monocytes
NBEAL1,8.210423,0.4937765,2.20E-16,1.60E-15,0.372447988,0.14532872,Monocytes
LY6D,8.00852,0.9539173,1.16E-15,8.22E-15,0.571553568,0.138408304,Monocytes
OTUD4,7.9505634,0.7517558,1.86E-15,1.31E-14,0.11180245,0.130334487,Monocytes
PHF12,7.943958,1.3052915,1.96E-15,1.38E-14,0.180731091,0.209919262,Monocytes
EPS15,7.888443,0.794492,3.06E-15,2.14E-14,0.11783006,0.096309112,Monocytes
PRSS23,7.760241,1.1196868,8.48E-15,5.85E-14,0.798463932,0.629757785,Monocytes
DDX5,7.732486,1.1257212,1.05E-14,7.26E-14,0.684619872,0.502883506,Monocytes
HECTD4,7.644765,1.1945713,2.09E-14,1.43E-13,0.029651954,0.160322953,Monocytes
CUTC,7.6336064,1.3322636,2.28E-14,1.56E-13,0.428251993,0.538638985,Monocytes
BANP,7.630244,0.7726789,2.34E-14,1.60E-13,0.31907447,0.28200692,Monocytes
USP11,7.6222353,0.8224931,2.49E-14,1.70E-13,0.815380128,0.543829296,Monocytes
HIVEP1,7.6014786,0.74245054,2.93E-14,1.99E-13,0.890530819,0.765282584,Monocytes
MOB2,7.5966945,0.9811395,3.04E-14,2.06E-13,0.065331519,0.283160323,Monocytes
HERC1,7.560242,1.0655428,4.02E-14,2.72E-13,0.085844838,0.371395617,Monocytes
MAP3K1,7.5542946,1.0356904,4.21E-14,2.84E-13,0.826074276,0.637831603,Monocytes
CCDC174,7.553958,0.92511076,4.22E-14,2.84E-13,0.654190161,0.301614764,Monocytes
MHENCR,7.5533743,2.7042675,4.24E-14,2.85E-13,0.11987167,0.303344867,Monocytes
SSBP2,7.5174155,1.4175862,5.59E-14,3.74E-13,0.019443904,0.107266436,Monocytes
MAN2A1,7.49979,1.0875126,6.39E-14,4.27E-13,0.80896364,0.559400231,Monocytes
PROM1,7.4701195,0.40272135,8.01E-14,5.33E-13,0.341046082,0.196655133,Monocytes
TFCP2L1,7.435796,0.85848397,1.04E-13,6.90E-13,0.440015555,0.144175317,Monocytes
LTBP1,7.390579,1.4597205,1.46E-13,9.66E-13,0.766964807,0.470588235,Monocytes
CHPT1,7.387534,0.33710694,1.50E-13,9.88E-13,0.298366712,0.186851211,Monocytes
DEGS1,7.3872313,0.8099642,1.50E-13,9.90E-13,0.115691231,0.085928489,Monocytes
SMIM14,7.3755193,0.43550634,1.64E-13,1.08E-12,0.380614427,0.167243368,Monocytes
CDH1,7.3721867,0.64578897,1.68E-13,1.11E-12,0.131246354,0.275663206,Monocytes
AP3M2,7.3424897,1.7725257,2.10E-13,1.38E-12,0.486972584,0.429642445,Monocytes
GJC1,7.340747,5.9880314,2.12E-13,1.40E-12,0.340365545,0.224336794,Monocytes
TTC14,7.3372865,1.0099643,2.18E-13,1.43E-12,0.255104025,0.083621684,Monocytes
NR4A1,7.3366656,-1.6505107,2.19E-13,1.44E-12,0.311783006,0.059400231,Monocytes
EPPK1,7.329409,1.6750845,2.31E-13,1.52E-12,0.404141552,0.28200692,Monocytes
APOLD1,7.156873,1.8724161,8.25E-13,5.33E-12,0.40851643,0.083621684,Monocytes
